Firm Name,Ownership,PE Funds Raised L10Y p.a. ($M),Year Est.,City,Team Size,PE Dry Powder per Person ($M),Total AUM ($M),AUM per Person ($M),PE AUM ($M),PD AUM ($M),PE Dry Powder ($M),PD Dry Powder ($M),PE Funds Raised 10Y ($M),PD Funds Raised 10Y ($M),PE Funds in Market,PE Funds Closed,PE Strategies,PD Strategies,What They're Known For
GTCR,Independent Firm," 3,119  ",1980,Chicago,86,166,"46,700",543,-,-,"14,280",-,"31,187",-,3,25,"Buyout, Co-Investment, Complex Situation, Divestiture, Expansion / Late Stage, Growth, PIPE, Public to Private, Spin-Offs, pre-IPO",-,"Chicago-based PE focused on four sectors: Financial Services, Healthcare, TMT (Tech/Media/Telecom), Business Services using 'Leaders Strategy'"
JP Morgan Asset Management,Captive Arm – Bank," 2,958  ",1937,New York,"1,300",8,"86,000","2,923",-,-,"10,342","1,196","29,580","3,512",27,74,"Buyout, Co-Investment, Early Stage, Early Stage: Seed, Expansion / Late Stage, Fund of Funds, Growth, Management Buy-in, Management Buyout, Recapitalisation, Secondaries, pre-IPO","Direct Lending, Distressed Debt, Infrastructure Debt, Mezzanine, Real Estate Debt, Secondaries, Special Situations, Mezzanine",Captive arm fund-of-funds specialist buyout and growth equity firm
BDT Capital Partners,Captive Arm – Corporate," 2,929  ",2023,Chicago,100,68,"8,600",600,-,-,"6,808",-,"29,294",-,0,4,"Buyout, Co-Investment, Growth, Hybrid, Public to Private",-,"Merchant bank serving family-owned and founder-led businesses with long-term, patient capital"
AEA Investors,Independent Firm," 1,960  ",1968,New York,120,56,"30,000",150,-,-,"6,739",278,"19,602","2,947",5,20,"Buyout, Co-Investment, Expansion / Late Stage, Growth, Recapitalisation","Direct Lending, Mezzanine, Junior / Subordinated Debt, Senior Debt, Unitranche Debt","Middle-market PE pioneer founded 1968 by Rockefeller, Mellon, Harriman families, focuses on growth capital and private debt"
TJC,Independent Firm," 1,886  ",1982,New York,63,66,"1,928",527,"32,000",-,"4,127",-,"18,857",-,2,8,"Buyout, Co-Investment, Growth, Public to Private, Recapitalisation, Restructuring",-,"Middle-market PE (formerly The Jordan Company) across Industrials, Transportation & Logistics, Healthcare & Consumer, Telecom/Tech/Utilities"
KPS Capital Partners,Independent Firm," 1,685  ",1991,New York,101,82,"6,400",192,-,-,"8,289",0,"16,847",4,0,11,"Buyout, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Recapitalisation, Reorganisation, Restructuring, Spin-Offs, Turnaround","Distressed Debt, Special Situations","Turnaround and restructuring specialist focused on manufacturing, corporate carve-outs, and special situations"
BlackRock,Independent Firm," 1,588  ",1988,New York,"1,038",1,"1,700,000","12,069","40,000","42,000","1,183","2,857","15,881","28,100",7,13,"Balanced, Buyout, Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Restructuring, Secondaries, Turnaround, Venture (General), pre-IPO","Direct Lending, Special Situations, Senior Debt",Independent secondaries specialist turnaround and restructuring specialist buyout and growth equity firm
Morgan Stanley,Captive Arm – Bank," 1,539  ",1990,New York,"15,000",0,"13,200",113,"7,340","8,464","4,218","1,256","15,386","7,355",13,20,"Buyout, Co-Investment, Early Stage, Early Stage: Start-up, Expansion / Late Stage, Growth, Management Buyout, Recapitalisation, Restructuring, Spin-Offs","Direct Lending, Mezzanine, Senior Debt",Captive arm turnaround and restructuring specialist buyout and growth equity firm
Madison Dearborn Partners,Independent Firm," 1,338  ",1992,Chicago,56,5,"65,000",309,"17,305",-,272,-,"13,382",-,9,12,"Buyout, Divestiture, Growth, Management Buyout, Public to Private, Recapitalisation, Spin-Offs",-,"Chicago PE focused on four sectors: Financial Services, Basic Industries, Healthcare, Technology & Government"
"Welsh, Carson, Anderson & Stowe",Independent Firm," 1,323  ",1979,New York,45,57,"9,000",-,-,-,"2,587",-,"13,234",-,1,17,"Buyout, Co-Investment, Divestiture, Expansion / Late Stage, Growth, Management Buyout, Public to Private, Recapitalisation, Spin-Offs","Mezzanine, Special Situations",45-year specialist evenly split between Healthcare and Technology sectors (WCAS)
Harvest Partners,Independent Firm," 1,172  ",1981,New York,57,51,"2,000",351,-,-,"2,929",183,"11,724","2,470",5,9,"Buyout, Co-Investment, Divestiture, Expansion / Late Stage, Growth, Management Buy-in, Management Buyout, Public to Private, Recapitalisation, Spin-Offs, Succession, Venture (General), pre-IPO","Direct Lending, Mezzanine, Junior / Subordinated Debt, Senior Debt","Established 1981 middle-market PE with relationship-focused approach in business services, consumer, healthcare, industrials"
Oak Hill Capital,Independent Firm," 1,127  ",1986,New York,35,48,"3,130",289,-,-,"1,678",-,"11,265",-,1,7,"Buyout, Growth","Distressed Debt, Special Situations","Thematic middle-market PE with industry-focused approach (35+ years), partners with management for operational initiatives"
Kohlberg & Company,Independent Firm," 1,110  ",1987,Mount Kisco,50,69,"7,100",340,-,-,"3,440",-,"11,104",-,4,13,"Buyout, Co-Investment, Growth, Management Buyout, Public to Private, Recapitalisation","Distressed Debt, Special Situations","Middle-market PE focused on healthcare and services companies with recurring revenue, resilient end markets"
Lindsay Goldberg,Independent Firm," 1,099  ",2001,New York,41,69,"2,060",173,-,-,"2,830",-,"10,988",-,4,7,"Buyout, Co-Investment, Divestiture, Expansion / Late Stage, Growth, Spin-Offs, Succession",-,"Relationship-driven firm partnering with families, founders, management teams for long-term (10-20 year) hold periods"
One Equity Partners,Bank Spin-off," 1,041  ",2001,New York,47,45,"2,651",340,-,-,"2,110",-,"10,406",-,0,6,"Buyout, Co-Investment, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Management Buyout, PIPE, Recapitalisation, Spin-Offs",-,"JPMorgan spin-off (2015), middle-market PE focused on industrials, healthcare, TMT"
BlackRock Private Equity Partners (PEP),Captive Arm – Corporate," 1,025  ",1999,New York,16,164,"53,900","3,369",-,-,"2,623",19,"10,246",446,1,62,"Co-Investment, Expansion / Late Stage, Fund of Funds, Growth, Secondaries","Distressed Debt, Mezzanine","Fund-of-funds and co-investment strategy (primaries, secondaries, co-investments) within BlackRock's alternatives platform"
Arsenal Capital Partners,Independent Firm, 927  ,2000,New York,59,39,"1,400",172,-,-,"2,280",-,"9,265",-,1,12,"Buyout, Co-Investment, Growth",-,"Lower middle-market specialist in specialty industrials (chemicals, materials) and healthcare services"
Kelso & Company,Independent Firm, 922  ,1971,New York,37,46,-,245,-,-,"1,706",-,"9,218",-,3,26,"Buyout, Co-Investment, Divestiture, Expansion / Late Stage, Growth, Public to Private, Recapitalisation",Mezzanine,"North American middle-market PE founded 1971, focuses on recapitalizations, growth capital, and LBOs"
RedBird Capital Partners,Independent Firm, 899  ,2014,New York,52,41,234,231,"12,000",-,"2,130",-,"8,985",-,7,17,"Buyout, Divestiture, Early Stage, Early Stage: Start-up, Expansion / Late Stage, Growth, Restructuring, Spin-Offs",-,"Sports, media, TMT specialist founded by ex-Goldman partner Gerry Cardinale ($12B AUM)"
The Riverside Company,Independent Firm, 863  ,1988,New York,-,-,-,-,-,-,"1,974",158,"8,631",968,3,33,"Buyout, Divestiture, Expansion / Late Stage, Growth, PIPE, Recapitalisation","Direct Lending, Junior / Subordinated Debt, Senior Debt, Unitranche Debt",Independent buyout and growth equity firm
American Industrial Partners,Independent Firm, 837  ,2005,New York,51,42,629,333,-,-,"2,152",-,"8,367",-,2,7,"Buyout, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Management Buyout, Public to Private, Recapitalisation, Spin-Offs, Turnaround","Direct Lending, Mezzanine, Special Situations, Senior Debt",Operationally-oriented middle-market PE exclusively focused on industrial businesses in US/Canada
Apogem Capital,Independent Firm, 834  ,2022,New York,80,27,"6,300",525,"15,000","20,000","2,156",4,"8,337","2,157",7,46,"Buyout, Co-Investment, Fund of Funds, Growth, Secondaries, Turnaround","Direct Lending, Mezzanine, Junior / Subordinated Debt, Mezzanine, Senior Debt, Unitranche Debt",Independent fund-of-funds specialist turnaround and restructuring specialist buyout and growth equity firm
American Securities,Independent Firm, 811  ,1994,New York,94,7,"92,000",245,-,-,671,-,"8,112",-,3,8,"Buyout, Expansion / Late Stage, Growth, Restructuring",-,Middle-market PE with consistent track record building enduring businesses through operational approach
Centerbridge Partners,Independent Firm, 796  ,2005,New York,109,38,"11,000",394,"18,000","19,000","4,192",166,"7,960","6,836",14,12,"Buyout, Complex Situation, Growth, Management Buyout, Public to Private, Recapitalisation, Restructuring","CLOs, Direct Lending, Distressed Debt, Special Situations, Blended / Opportunistic Debt, Junior / Subordinated Debt, Mezzanine, Senior Debt, Unitranche Debt",Multi-strategy investor in PE and credit with focus on distressed debt and special situations
Pritzker Private Capital,Independent Firm, 790  ,2002,Chicago,49,63,-,204,-,-,"3,111",-,"7,900",-,0,5,"Buyout, Complex Situation, Divestiture, Growth, Management Buyout, Recapitalisation, Succession",-,"Pritzker family-backed PE focused on manufactured products and services, buy-to-build vs buy-to-sell philosophy"
Kinderhook Industries,Independent Firm, 773  ,2003,New York,14,221,"8,500",607,"7,234",-,"3,090",-,"7,734",-,0,11,"Buyout, Growth, Management Buyout, Recapitalisation, Spin-Offs, Succession",-,"Middle-market specialist focused on healthcare services, environmental/business services, automotive/light manufacturing with 95+ operating partners"
Valor Equity Partners,Independent Firm, 767  ,2001,Chicago,60,14,"9,500",435,"14,540",-,814,-,"7,672",-,13,15,"Buyout, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth",-,"Technology growth equity with early-stage venture arm (VSV) backed by Starbucks, Nestlé for food/retail tech"
Sentinel Capital Partners,Independent Firm, 722  ,1995,New York,43,47,"9,072",120,-,-,"2,013",312,"7,220","1,295",3,10,"Buyout, Divestiture, Growth, Management Buyout, Public to Private, Recapitalisation, Restructuring, Spin-Offs, Succession, Turnaround","Direct Lending, Mezzanine, Special Situations, Junior / Subordinated Debt, Senior Debt, Unitranche Debt","Lower middle-market PE with operational value-creation focus in consumer, healthcare, industrial services"
Wafra,Independent Firm, 715  ,1985,New York,76,23,"1,580",382,-,-,"1,734",-,"7,154",-,1,9,"Buyout, Co-Investment, Divestiture, Early Stage, Early Stage: Seed, Expansion / Late Stage, Growth, Management Buyout, Recapitalisation, Spin-Offs","Distressed Debt, Special Situations",Independent buyout and growth equity firm
Siguler Guff,Independent Firm, 708  ,1991,New York,63,22,-,270,"7,000",-,"1,357",321,"7,080","2,062",5,33,"Buyout, Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Fund of Funds, Growth, Hybrid, Recapitalisation, Secondaries, Turnaround","Direct Lending, Distressed Debt, Mezzanine, Special Situations",Independent fund-of-funds specialist turnaround and restructuring specialist buyout and growth equity firm
GCM Grosvenor,Independent Firm, 702  ,1971,Chicago,180,8,"84,000",478,"32,000","16,000","1,504",-,"7,024",-,8,96,"Balanced, Buyout, Co-Investment, Early Stage: Seed, Fund of Funds, Growth, Secondaries, Turnaround, Venture (General)","Direct Lending, Distressed Debt, Mezzanine, Special Situations, Blended / Opportunistic Debt, Junior / Subordinated Debt, Mezzanine, Senior Debt, Unitranche Debt",Independent fund-of-funds specialist turnaround and restructuring specialist buyout and growth equity firm
One Investment Management,Independent Firm, 680  ,2022,New York,13,56,"1,900",631,-,-,729,-,"6,800",-,0,1,"Buyout, Complex Situation, Growth, Restructuring",-,Global alternative investment manager investing across capital structure in multiple asset classes (founded 2022)
SK Capital,Independent Firm Spin-off, 628  ,2007,New York,26,57,"18,000",346,-,-,"1,493",-,"6,275",-,5,11,"Buyout, Co-Investment, Complex Situation, Divestiture, Growth, Public to Private, Recapitalisation, Spin-Offs, Succession",-,"Specialty materials, specialty chemicals, and pharmaceuticals sector specialist with disciplined focus"
Wynnchurch Capital,Independent Firm, 578  ,1999,Chicago,41,67,"33,200",210,-,-,"2,766",-,"5,777",-,0,8,"Buyout, Co-Investment, Complex Situation, Divestiture, Growth, Management Buyout, Public to Private, Recapitalisation, Restructuring, Spin-Offs, Succession, Turnaround","Distressed Debt, Special Situations","Chicago-based middle-market PE specializing in recapitalizations, growth capital, carve-outs, restructurings"
Bregal Sagemount,Independent Firm, 566  ,2012,New York,20,103,"1,888",-,-,-,"2,054",622,"5,661","1,048",0,5,"Buyout, Complex Situation, Divestiture, Early Stage: Start-up, Expansion / Late Stage, Growth, Management Buy-in, Management Buyout, PIPE, Public to Private, Recapitalisation, Restructuring, Spin-Offs, Succession, pre-IPO","Direct Lending, Mezzanine, Special Situations, Venture Debt, Blended / Opportunistic Debt, Junior / Subordinated Debt, Senior Debt, Unitranche Debt","Growth-focused PE in software, fintech, specialty finance, digital infrastructure with flexible capital approach"
Sycamore Partners,Independent Firm, 541  ,2011,New York,38,15,900,289,-,-,576,-,"5,408",-,3,3,"Buyout, Co-Investment, Complex Situation, Divestiture, Privatisation, Recapitalisation, Restructuring, Spin-Offs",-,Retail and consumer products specialist with operational improvement focus ($10B AUM)
Cortec Group,Independent Firm, 530  ,1984,New York,27,81,651,237,-,-,"2,200",-,"5,300",-,2,9,"Buyout, Co-Investment, Divestiture, Expansion / Late Stage, Growth, Spin-Offs, Succession, Venture Debt",-,"Middle-market PE focused on high-margin consumer, B2B products, and healthcare with deep partnering approach"
J.F. Lehman & Company,Independent Firm, 493  ,1992,New York,32,35,"4,400",-,-,-,"1,110",151,"4,926",172,2,14,"Buyout, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Recapitalisation","Direct Lending, Distressed Debt","Specialized middle-market PE exclusively in defense, aerospace, maritime, environmental services"
Cerberus Capital Management,Independent Firm, 473  ,1992,New York,250,4,"3,100",260,"16,000","36,000","1,005",809,"4,733","11,247",6,4,"Buyout, Co-Investment, Complex Situation, Divestiture, Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Public to Private, Recapitalisation, Restructuring, Spin-Offs, Turnaround","Direct Lending, Distressed Debt, Special Situations, Senior Debt, Unitranche Debt",Distressed debt and special situations giant founded 1992 with global focus
Certares Management,Captive Arm – Corporate, 437  ,2012,New York,23,26,"2,000",304,"7,000",-,597,0,"4,372","1,491",1,2,"Buyout, Growth, PIPE","Distressed Debt, Secondaries, Special Situations",Captive arm buyout and growth equity firm
HPS Investment Partners,Independent Firm, 399  ,2007,New York,250,7,"23,000",660,"20,000","126,000","1,765","18,663","3,986","76,963",21,36,"Co-Investment, Complex Situation, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth","CLOs, Direct Lending, Distressed Debt, Mezzanine, Special Situations, Senior Debt","Private credit giant ($165B AUM) specializing in direct lending, special situations, multi-asset credit"
Tenex Capital Management,Independent Firm, 394  ,2009,New York,30,48,"1,200",104,-,-,"1,437",-,"3,939",-,2,7,"Buyout, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Hybrid, Management Buyout, Public to Private, Recapitalisation, Restructuring, Spin-Offs, Succession, Turnaround","Distressed Debt, Special Situations",Middle-market turnaround specialist applying operational skills to distressed and special situations (ex-Cerberus principals)
JLL Partners,Independent Firm, 388  ,1988,New York,21,89,"5,100",257,-,-,"1,862",-,"3,884",-,1,14,"Buyout, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Public to Private, Recapitalisation, Restructuring, Turnaround",-,"Middle-market PE focused on three sectors: Healthcare, Aerospace & Defense, Business Services (NOT real estate despite name)"
Court Square,Bank Spin-off, 385  ,1979,New York,40,17,"50,000",252,-,-,692,-,"3,847",-,2,5,"Buyout, Co-Investment, Divestiture, Growth, Public to Private",-,Bank spin-off buyout and growth equity firm
Paine Schwartz Partners,Independent Firm, 373  ,1997,New York,26,33,"1,000",250,-,-,850,-,"3,733",-,5,20,"Buyout, Co-Investment, Expansion / Late Stage, Growth, Public to Private, Recapitalisation",-,Independent buyout and growth equity firm
Brown Brothers Harriman,Independent Firm, 365  ,1818,New York,39,29,350,"2,487",-,-,"1,140",186,"3,654",257,4,6,"Buyout, Co-Investment, Complex Situation, Direct Secondaries, Expansion / Late Stage, Growth, Hybrid, Management Buyout, Public to Private, Recapitalisation, Succession","BDCs, CLOs, Direct Lending, Distressed Debt, Mezzanine, Secondaries, Blended / Opportunistic Debt, Senior Debt",Independent secondaries and direct secondaries investor complex situations and special transactions buyout and growth equity firm
Brightstar Capital Partners,Independent Firm, 352  ,2015,New York,27,21,"8,200",185,-,-,554,-,"3,523",-,7,8,"Buyout, Co-Investment, Early Stage, Growth, Recapitalisation, Succession",-,Independent buyout and growth equity firm
Vestar Capital Partners,Independent Firm, 348  ,1988,New York,26,69,"60,000",79,-,-,"1,792",-,"3,480",-,0,9,"Buyout, Co-Investment, Complex Situation, Divestiture, Growth, Management Buyout, Public to Private, Recapitalisation, Spin-Offs",-,"Middle-market buyout specialist focused on Consumer, Business & Technology Services, Healthcare sectors"
Hunter Point Capital,Independent Firm, 336  ,2020,New York,45,15,"11,000",69,-,-,662,-,"3,362",-,8,4,"Buyout, Co-Investment, Expansion / Late Stage, Growth",-,Independent buyout and growth equity firm
Motive Partners,Captive Arm – Corporate, 327  ,2015,New York,33,11,"19,000",145,-,-,348,-,"3,266",-,7,10,"Buyout, Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Venture (General)",-,Captive arm buyout and growth equity firm
Twin Bridge Capital Partners,Independent Firm, 327  ,2005,Chicago,18,65,"1,640",188,-,-,"1,176",-,"3,265",-,1,8,"Buyout, Co-Investment, Fund of Funds",-,Chicago small and lower middle-market buyout specialist with extensive fund-of-funds expertise
MidOcean Partners,Independent Firm, 318  ,2003,New York,22,38,"10,000",500,"3,500","7,500",846,157,"3,178","1,050",1,6,"Buyout, Divestiture, Growth, Public to Private, Recapitalisation, Restructuring","CLOs, Direct Lending, Special Situations, Blended / Opportunistic Debt",Middle-market PE focused on consumer and business services with transformational growth approach
OceanSound Partners,Independent Firm, 317  ,2019,New York,18,32,"5,000",250,-,-,575,-,"3,166",-,4,8,"Buyout, Divestiture, Growth, Public to Private, Recapitalisation, Restructuring, Venture (General)",-,Independent turnaround and restructuring specialist buyout and growth equity firm
EagleTree Capital,Independent Firm, 311  ,2015,New York,29,36,-,166,"4,800",-,"1,034",-,"3,108",-,0,5,"Buyout, Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Spin-Offs","Direct Lending, Special Situations","Business services, consumer, media specialist with B2B focus and events platform investments"
Oberland Capital,Independent Firm, 305  ,2013,New York,16,44,"1,400",200,-,-,701,0,"3,054","1,200",1,4,"Buyout, Early Stage, Growth, Hybrid",Direct Lending,Independent buyout and growth equity firm
Mill Point Capital,Independent Firm, 304  ,2013,New York,22,64,"10,000",75,-,-,"1,405",-,"3,036",-,0,3,"Buyout, Complex Situation, Divestiture, Growth, Spin-Offs, Turnaround",-,"Lower middle-market PE focused on Business Services, Industrials, IT Services with executive partner model for complex situations"
Cornell Capital,Independent Firm, 303  ,2013,New York,24,18,"10,100",208,-,-,425,-,"3,033",-,2,4,"Buyout, Co-Investment, Divestiture, Early Stage: Start-up, Expansion / Late Stage, Growth, Hybrid, PIPE, Spin-Offs",Special Situations,Independent buyout and growth equity firm
Ariel Alternatives,Independent Firm, 300  ,2021,Chicago,16,66,245,"1,012",-,-,"1,054",-,"3,000",-,1,3,"Buyout, Expansion / Late Stage, Growth",-,"First Black-owned mutual fund firm's PE arm, 'Project Black' fund creates minority-owned businesses of scale"
Garnett Station Partners,Independent Firm, 299  ,2016,New York,32,50,"2,438",109,-,-,"1,602",-,"2,985",-,2,8,"Buyout, Expansion / Late Stage, Growth, Recapitalisation","Direct Lending, Mezzanine","Young founders (Harvard MBA) built from Burger King franchises to principal investment firm in F&B, health/wellness, automotive, business services"
Crestview Partners,Independent Firm, 298  ,2004,New York,24,22,771,-,-,-,540,-,"2,978",-,1,5,"Buyout, Co-Investment, Complex Situation, Early Stage: Start-up, Expansion / Late Stage, Growth, Restructuring, Spin-Offs",-,"Independent turnaround, restructuring, and special situations focus buyout and growth equity firm"
Primary Wave,Independent Firm, 297  ,2006,New York,16,44,"3,200",250,-,-,703,-,"2,967",-,1,3,"Buyout, Growth",-,"Music royalties and entertainment IP investor, acquires music catalogs and intellectual property"
Level Equity,Independent Firm, 278  ,2009,New York,31,18,"5,000",145,-,-,565,-,"2,782",-,3,10,"Buyout, Growth, Recapitalisation",-,Independent buyout and growth equity firm
TruArc Partners,Independent Firm, 269  ,2021,New York,17,66,"16,200",113,"1,928",-,"1,116",-,"2,694",-,2,4,"Buyout, Co-Investment, Growth, Recapitalisation, Restructuring",-,Specialty manufacturing and business services specialist pursuing transformational growth (successor to Snow Phipps 2021)
Greycroft Partners,Independent Firm, 266  ,2006,New York,21,27,581,300,-,-,571,-,"2,656",-,1,21,"Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth",-,Independent growth equity firm
26North Partners,Independent Firm, 265  ,2022,New York,34,56,"8,200",882,-,-,"1,913",-,"2,650",-,8,3,"Buyout, Early Stage, Early Stage: Seed, Growth, PIPE",Direct Lending,"Josh Harris-founded alternative asset manager ($28B AUM) across credit, insurance, PE with alpha-oriented approach"
Cressey & Company,Independent Firm, 260  ,2008,Chicago,21,45,-,126,-,-,945,-,"2,600",-,0,5,"Buyout, Expansion / Late Stage, Growth",-,Exclusive healthcare-focused PE (Chicago/Nashville) in control and minority investments since 2008
Abbott Capital Management,Independent Firm, 257  ,1986,New York,20,37,"284,000",715,-,-,749,-,"2,570",-,3,30,"Buyout, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Fund of Funds, Growth, Secondaries",-,Fund-of-funds and secondaries specialist with accelerated deployment and vintage year exposure
Gamut Capital Management,Independent Firm, 254  ,2015,New York,18,14,"55,000",194,-,-,259,-,"2,542",-,1,4,"Buyout, Co-Investment, Complex Situation, Divestiture, Growth, PIPE, Recapitalisation, Spin-Offs",-,Independent complex situations and special transactions buyout and growth equity firm
JC Flowers,Independent Firm, 254  ,1998,New York,16,31,"1,600",312,-,-,495,0,"2,540",100,5,13,"Buyout, Co-Investment, Complex Situation, Divestiture, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, PIPE, Public to Private, Recapitalisation",Distressed Debt,Independent complex situations and special transactions buyout and growth equity firm
DFW Capital Partners,Independent Firm, 252  ,1994,New York,16,58,-,125,-,-,931,-,"2,517",-,1,13,"Buyout, Co-Investment, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Management Buyout, Recapitalisation, Spin-Offs, Turnaround",-,"Lower middle-market PE focused on Healthcare, Business Services, Industrial Services (founded 1983, $2B+ AUM)"
